08-05-2019 15:52:05.313,-,API,"D200K,0013A200417E381A,XBee PRO 900HP 200K,8075,COM3 - 9600/8/N/1/N,3"
08-05-2019 15:53:20.907,46,RECV,7E0072900013A200417E3816FFFE410000002FDFF4F5F2F1FBC000511B800CF7CCCCC0B00C0B00C060180CCCF3F04FFEFFEEC36452F1F6C193B95FFF0B76CA0B13C9B39C0B00CA0B06C0B00C40B75C17B38CA2B25C359B94C4B62C0B50C0B79CA0B09C9B77C23B97C100015B03C58B68C193B44C3131
08-05-2019 15:53:21.297,47,RECV,7E006E900013A200417E3816FFFE4100000030DFF4F5F4F4F9C000512B399CCCCC0C00CCCFF1CCF1CCF07FFCFFEEC36849F1F6C193B95FFF0B76CA0B10C9B39CA0B06CA0B12C0B00C41B19C17B75CA3B75C359B94C4B62C0B50C0B79CA0B09C9B77C23B97C100015B20C58B60C193B42C36E
08-05-2019 15:53:22.347,48,RECV,7E006F900013A200417E3816FFFE4100000031DFF4F5F4F4F9C000513B399CCCCC0C00CCCFF1CCF1CCF07FFBFFEEC37889F1F6C193B95FFF0B74CA0B11C9B39CA0B06CA0B06CA0B06C40B75C18B19CA2B69C359B94C4B62C0B50C0B79CA0B09C9B77C23B97C100014B92C58B51C193B45C3112
08-05-2019 15:53:22.747,49,RECV,7E0072900013A200417E3816FFFE4100000032DFF4F5F2F1FBC000513B800CF7CCCCC0B00C0B00C060180CCCF3F04FFCFFEEC38291F1F6C193B95FFF0B76CA0B11C9B42C0B06CA0B06C0B00C41B19C18B88CA3B38C359B94C4B62C0B50C0B79CA0B09C9B77C23B97C100014B92C58B51C193B45C3133
08-05-2019 15:53:23.807,50,RECV,7E0073900013A200417E3816FFFE4100000033DFF4F5F2F1FBC000514B800CF7CCCCC0B00C0B00C060180CCCF3F04FF9FFEEC39297F1F6C193B95FFF0B76CA0B11C9B39CA0B19CA0B12CA0B06C40B75C17B75CA3B38C359B94C4B62C0B50C0B79CA0B09C9B77C23B97C100014B16C58B56C193B51C3105
08-05-2019 15:53:23.907,51,RECV,7E0073900013A200417E3816FFFE4100000034DFF4F5F2F1FBC000514B800CF7CCCCC0B00C0B00C060180CCCF3F04FF9FFEEC39297F1F6C193B95FFF0B76CA0B11C9B39CA0B19CA0B12CA0B06C40B75C17B75CA3B38C359B94C4B62C0B50C0B79CA0B09C9B77C23B97C100014B16C58B56C193B51C3104
08-05-2019 15:53:24.848,52,RECV,7E0072900013A200417E3816FFFE4100000035DFF4F5F2F1FBC000515B800CF7CCCCC0B00C0B00C060180CCCF3F04FFAFFEEC40382F1F6C193B95FFF0B74CA0B12C9B40CA0B12C0B06CA0B06C41B19C18B19CA2B69C359B94C4B62C0B50C0B79CA0B09C9B77C23B97C100016B56C58B43C193B31C3D3
08-05-2019 15:53:24.958,53,RECV,7E0072900013A200417E3816FFFE4100000036DFF4F5F2F1FBC000515B800CF7CCCCC0B00C0B00C060180CCCF3F04FFAFFEEC40382F1F6C193B95FFF0B74CA0B12C9B40CA0B12C0B06CA0B06C41B19C18B19CA2B69C359B94C4B62C0B50C0B79CA0B09C9B77C23B97C100016B56C58B43C193B31C3D2
08-05-2019 15:53:26.298,54,RECV,7E006D900013A200417E3816FFFE4100000037DFF4F5F4F4F9C000517B399CCCCC0C00CCCFF1CCF1CCF078FFEEC41826F1F6C193B95FFF0B74CA0B11C9B35C0B00C0B12CA0B06C40B38C17B38CA3B75C359B94C4B62C0B50C0B79CA0B09C9B77C23B97C100016B09C58B41C193B35C313B
08-05-2019 15:53:26.408,55,RECV,7E006D900013A200417E3816FFFE4100000038DFF4F5F4F4F9C000517B399CCCCC0C00CCCFF1CCF1CCF078FFEEC41894F1F6C193B95FFF0B75CA0B10C9B39CA0B12C0B31C0B00C40B38C17B75CA4B19C359B94C4B62C0B50C0B79CA0B09C9B77C23B97C100014B03C58B42C193B52C31FF
